deployment_population,n,mmd2_from_calibration_dist,coverage_global,coverage_mondrian,coverage_lwcc_a,set_size_global,set_size_mondrian,set_size_lwcc_a,eff_coverage_global,eff_coverage_mondrian,eff_coverage_lwcc_a
"In-dist (<70, held-out)",4736,0.0013918258709220144,0.9035050675675675,0.9060388513513513,0.8851351351351351,0.9674831081081081,0.9704391891891891,0.9480574324324325,0.9035050675675675,0.9060388513513513,0.8842905405405406
Mild shift [70-80),17748,0.0060084208192006106,0.8541244083840432,0.8582375478927203,0.84877169258508,0.9451205769664187,0.9496844714897453,0.9437683119224701,0.8541244083840432,0.8582375478927203,0.8472503944106378
Moderate shift [80-90),11102,0.0030436958711281825,0.8353449828859665,0.8399387497748153,0.8399387497748153,0.9286615024319942,0.9343361556476311,0.937308593046298,0.8353449828859665,0.8399387497748153,0.8384074941451991
Severe shift [90-100),1760,0.013137940690690852,0.8278409090909091,0.8375,0.8420454545454545,0.9130681818181818,0.9244318181818182,0.9335227272727272,0.8278409090909091,0.8375,0.8403409090909091
