kappa,method,abstention_rate,retained_n,coverage_retained,effective_coverage_retained,actionable_rate_retained
0.0,global,0.0,17493,0.9017321214199966,0.9017321214199966,0.9864517235465615
0.0,mondrian,0.0,17493,0.9017892871434288,0.9017892871434288,0.9869090493340194
0.0,lwcc_a,0.0,17493,0.9100783170411022,0.87823700908935,0.9591265077459555
0.025,global,5.716572343228421e-05,17492,0.9017836725360164,0.9017836725360164,0.9865081179967985
0.025,mondrian,5.716572343228421e-05,17492,0.9018408415275555,0.9018408415275555,0.9869654699291105
0.025,lwcc_a,5.716572343228421e-05,17492,0.91007317630917,0.8782872170134919,0.9591813400411616
0.05,global,0.0001714971702967416,17490,0.9018867924528302,0.9018867924528302,0.9866209262435678
0.05,mondrian,0.0001714971702967416,17490,0.9019439679817038,0.9019439679817038,0.9870783304745568
0.05,lwcc_a,0.0001714971702967416,17490,0.910062893081761,0.8783876500857632,0.9592910234419668
0.07500000000000001,global,0.0009718172983479434,17476,0.9026092927443351,0.9026092927443351,0.9874113069352255
0.07500000000000001,mondrian,0.0009718172983479434,17476,0.9026665140764477,0.9026665140764477,0.9878690775921264
0.07500000000000001,lwcc_a,0.0009718172983479434,17476,0.909990844586862,0.8790913252460517,0.9600595101853971
0.1,global,0.001714971702966861,17463,0.9032812231575331,0.9032812231575331,0.9881463666036764
0.1,mondrian,0.001714971702966861,17463,0.9033384870869839,0.9033384870869839,0.9886044780392831
0.1,lwcc_a,0.001714971702966861,17463,0.9099238389738303,0.8797457481532382,0.9607742083261753
0.125,global,0.002343794660721432,17452,0.9038505615402246,0.9038505615402246,0.9887691955076782
0.125,mondrian,0.002343794660721432,17452,0.9039078615631446,0.9039078615631446,0.9892275956910382
0.125,lwcc_a,0.002343794660721432,17452,0.9099816639926656,0.8803002521201009,0.9613797845519139
0.15000000000000002,global,0.0036014405762304635,17430,0.9049913941480207,0.9049913941480207,0.9900172117039587
0.15000000000000002,mondrian,0.0036014405762304635,17430,0.9050487664945496,0.9050487664945496,0.9904761904761905
0.15000000000000002,lwcc_a,0.0036014405762304635,17430,0.9100401606425703,0.8814113597246127,0.9625932300631096
0.17500000000000002,global,0.00554507517292635,17396,0.9067601747528168,0.9067601747528168,0.9919521729133134
0.17500000000000002,mondrian,0.00554507517292635,17396,0.9068176592320074,0.9068176592320074,0.9924120487468383
0.17500000000000002,lwcc_a,0.00554507517292635,17396,0.9100942745458727,0.8830765693262819,0.9644171073810072
0.2,global,0.00817469845080887,17350,0.909164265129683,0.909164265129683,0.9945821325648415
0.2,mondrian,0.00817469845080887,17350,0.909221902017291,0.909221902017291,0.9950432276657061
0.2,lwcc_a,0.00817469845080887,17350,0.9101440922190202,0.8853602305475504,0.9668587896253602
0.225,global,0.012747956325387277,17270,0.913375796178344,0.913375796178344,0.999189345686161
0.225,mondrian,0.012747956325387277,17270,0.910828025477707,0.910828025477707,0.995830920671685
0.225,lwcc_a,0.012747956325387277,17270,0.9105385060799074,0.8885350318471338,0.970005790387956
0.25,global,0.0194363459669582,17153,0.9151168891739054,0.9151168891739054,1.0
0.25,mondrian,0.0194363459669582,17153,0.9131347286189004,0.9131347286189004,0.997259954526905
0.25,lwcc_a,0.0194363459669582,17153,0.9110359703841894,0.892030548592083,0.9732991313472862
0.275,global,0.02772537586463153,17008,0.9163334901222954,0.9163334901222954,1.0
0.275,mondrian,0.02772537586463153,17008,0.9147460018814676,0.9147460018814676,0.9976481655691439
0.275,lwcc_a,0.02772537586463153,17008,0.9118650047036688,0.8958137347130762,0.9767168391345249
0.30000000000000004,global,0.039958840679128804,16794,0.9173514350363225,0.9173514350363225,1.0
0.30000000000000004,mondrian,0.039958840679128804,16794,0.9158628081457664,0.9158628081457664,0.9978563772775991
0.30000000000000004,lwcc_a,0.039958840679128804,16794,0.913600095272121,0.9008574490889604,0.981362391330237
0.325,global,0.05899502658206135,16461,0.9189599659801956,0.9189599659801956,1.0
0.325,mondrian,0.05899502658206135,16461,0.9178057226170949,0.9178057226170949,0.9985420083834518
0.325,lwcc_a,0.05899502658206135,16461,0.9159832330964097,0.9068100358422939,0.9863920782455501
0.35000000000000003,global,0.09300863202423826,15866,0.9224757342745493,0.9224757342745493,1.0
0.35000000000000003,mondrian,0.09300863202423826,15866,0.9222236228412959,0.9222236228412959,0.9997478885667465
0.35000000000000003,lwcc_a,0.09300863202423826,15866,0.920395814950208,0.9165511155930921,0.9934451027354091
0.375,global,0.16155033441948208,14667,0.9280016363264472,0.9280016363264472,1.0
0.375,mondrian,0.16155033441948208,14667,0.9280016363264472,0.9280016363264472,1.0
0.375,lwcc_a,0.16155033441948208,14667,0.9267743914911025,0.9262289493420605,0.9980909524783528
0.4,global,0.29308866403704337,12366,0.9353064855248261,0.9353064855248261,1.0
0.4,mondrian,0.29308866403704337,12366,0.9353064855248261,0.9353064855248261,1.0
0.4,lwcc_a,0.29308866403704337,12366,0.9349021510593563,0.9349021510593563,0.9995956655345302
0.42500000000000004,global,0.5063168124392614,8636,0.948471514590088,0.948471514590088,1.0
0.42500000000000004,mondrian,0.5063168124392614,8636,0.948471514590088,0.948471514590088,1.0
0.42500000000000004,lwcc_a,0.5063168124392614,8636,0.948471514590088,0.948471514590088,1.0
0.45,global,0.8371348539415766,2849,0.961038961038961,0.961038961038961,1.0
0.45,mondrian,0.8371348539415766,2849,0.961038961038961,0.961038961038961,1.0
0.45,lwcc_a,0.8371348539415766,2849,0.961038961038961,0.961038961038961,1.0
